,fc_model,gcn_model,gcn_attention_model
centrality,0.007336057543754578,0.0001492464272887446,0.00015349397779209538
clustering coef,0.021028690859675406,0.00093993382435292,0.001001813943963498
ecentricity,0.032092847928404805,0.005209164204075933,0.004865084582939744
neighbor degree,0.028824198856949805,2.900588244665414e-05,0.00010310812064562925
page rank,0.004570713279768825,0.010958149671554566,0.010839382514357567
shortest path,0.017629609052091835,0.002505244261585176,0.0025431056059896946
